,season,episode_number,title,airdate,rating,total_votes,director,writer,desc
0,1,1,The National Anthem,6 Jan. 2014,7.7,55266,Otto Bathurst,Charlie Brooker,"Prime Minister Michael Callow faces a shocking dilemma when Princess Susannah, a much-loved member of the Royal Family, is kidnapped."
1,1,2,Fifteen Million Merits,26 Jan. 2014,8.0,55434,Euros Lyn,Charlie Brooker,"In a world where people's lives consist of riding exercise bikes to gain credits, Bing tries to help a woman get on to a singing competition show."
2,1,3,The Entire History of You,26 Jan. 2014,8.5,56820,Brian Welsh,Jesse Armstrong,"In the near future, everyone has access to a memory implant that records everything they do, see and hear. You need never forget a face again - but is that always a good thing?"
3,2,1,Be Right Back,3 Aug. 2015,8.0,47216,Owen Harris,Charlie Brooker,"After learning about a new service that lets people stay in touch with the deceased, a lonely, grieving Martha reconnects with her late lover."
4,2,2,White Bear,10 Aug. 2015,8.0,47442,Carl Tibbetts,Charlie Brooker,"Victoria wakes up and cannot remember anything about her life. Everyone she encounters refuses to communicate with her, and they all seem to know something she doesn't. But what?"
5,2,3,The Waldo Moment,17 Aug. 2015,6.6,39469,Bryn Higgins,Charlie Brooker,A failed comedian who voices a popular cartoon bear named Waldo finds himself mixing in politics when TV executives want Waldo to run for office.
6,2,4,White Christmas,16 Dec. 2014,9.1,59734,Carl Tibbetts,Charlie Brooker,Three interconnected tales of technology run amok during the Christmas season are told by two men at a remote outpost in a frozen wilderness.
7,3,1,Nosedive,21 Oct. 2016,8.3,56869,Joe Wright,Rashida Jones,"A woman desperate to boost her social media score hits the jackpot when she's invited to a swanky wedding, but the trip doesn't go as planned."
8,3,2,Playtest,21 Oct. 2016,8.1,47435,Dan Trachtenberg,Charlie Brooker,"An American traveler short on cash signs up to test a revolutionary new gaming system, but soon can't tell where the hot game ends and reality begins."
9,3,3,Shut Up and Dance,21 Oct. 2016,8.4,49768,James Watkins,William Bridges,"When withdrawn Kenny stumbles headlong into an online trap, he is quickly forced into an uneasy alliance with shifty Hector, both at the mercy of persons unknown."
10,3,4,San Junipero,21 Oct. 2016,8.6,59613,Owen Harris,Charlie Brooker,"When Yorkie and Kelly visit San Junipero, a fun-loving beach town full of surf, sun and sex, their lives are changed."
11,3,5,Men Against Fire,21 Oct. 2016,7.5,36778,Jakob Verbruggen,Charlie Brooker,Future soldiers Stripe and Raiman must protect frightened villagers from an infestation of vicious feral mutants.
12,3,6,Hated in the Nation,21 Oct. 2016,8.5,42350,James Hawes,Charlie Brooker,"In near-future London, police detective Karin Parke, and her tech-savvy sidekick Blue, investigate a string of mysterious deaths with a sinister link to social media."
13,4,1,USS Callister,29 Dec. 2017,8.3,53255,Toby Haynes,Charlie Brooker,Capt. Robert Daly presides over his crew with wisdom and courage. But a new recruit will soon discover nothing on this spaceship is what it seems.
14,4,2,Arkangel,29 Dec. 2017,7.3,41491,Jodie Foster,Charlie Brooker,"After nearly losing her daughter, a mother invests in a new technology that allows her to keep track of her."
15,4,3,Crocodile,29 Dec. 2017,7.3,39095,John Hillcoat,Charlie Brooker,"An insurance agent investigates a minor traffic incident using a device that manifests peoples' memories, but one of her witnesses has something to hide."
16,4,4,Hang the DJ,29 Dec. 2017,8.7,53314,Timothy Van Patten,Charlie Brooker,"Paired up by a dating program that puts an expiration date on all relationships, Frank and Amy soon begin to question the system's logic."
17,4,5,Metalhead,29 Dec. 2017,6.6,37033,David Slade,Charlie Brooker,"In the post-apocalyptic landscape of the Scottish Moors, a woman attempts to survive the land full of ""dogs."""
18,4,6,Black Museum,29 Dec. 2017,8.6,43783,Colm McCarthy,Charlie Brooker,"A woman enters the Black Museum, where the proprietor tells his stories relating to the artifacts."
19,5,1,Striking Vipers,5 Jun. 2019,6.9,40022,Owen Harris,Charlie Brooker,"Two estranged college friends reunite in later life, triggering a series of events that could alter their lives forever."
20,5,2,Smithereens,5 Jun. 2019,7.5,36276,James Hawes,Charlie Brooker,A cab driver with an agenda becomes the centre of attention on a day that rapidly spirals out of control.
21,5,3,"Rachel, Jack and Ashley Too",5 Jun. 2019,6.1,36479,Anne Sewitsky,Charlie Brooker,A lonely teenager yearns to connect with her favorite pop star - whose charmed existence isn't quite as rosy as it appears...
